sample_ref,sample_descr
MICMABD,Mostres aparell digestiu i intraabdomina
MICMAEX,"Aspirats, Exudats, Biópsies, Drenatges"
MICMCAT,Cateters i sondes
MICMEST,Control Esterilitat
MICMFEM,Femta
MICMGEN,Genèric
MICMHEM,Hemocultiu
MICMHIG,Higiene hospitalària i esterilització
MICMMGE,Mostra genital
MICMMOS,Material osteoarticular
MICMMRE,Mostra respiratòria
MICMNEC,"Necropsia, teixit/s de"
MICMOCU,Mostres oculars
MICMORI,Orina
MICMORS,Oïda i vies respiratòries superiors
MICMPFA,"Teixit epitelial, dermis"
MICMPSA,"Sang, serum"
MICMSCC,Sistema cardio-circulatori
MICMSNC,Sistema Nerviós Central
MICMTCA,Teixits cardiovasculars
